school_number,school_name,percentage_alg_proficient,percentage_lit_proficient,percentage_bio_proficient,year
6280,JAMES BUCHANAN SHS,54.3,72.7,42.9,2018
2243,WAYNESBORO AREA SHS,51.7,67.2,49.7,2018
6252,MCCONNELLSBURG HS,50.9,83,52.8,2018
2246,FORBES ROAD JSHS,75,87.9,60.6,2018
7192,FULTON CO AVTS,,,,2018
2253,SOUTHERN FULTON JSHS,64.4,84.4,60,2018
7112,CARMICHAELS AREA JSH,45.2,53.8,37.5,2018
5118,WAYNESBURG CENTRAL HS,41.8,63.1,40.2,2018
5282,GREENE CO AVTS,,,,2018
2280,JEFFERSON-MORGAN JSH,29.8,52.3,26.1,2018
2284,MAPLETOWN JSHS,39.5,62.8,51.2,2018
7136,WEST GREENE HS,38.5,57.7,40.4,2018
2305,HUNTINGDON AREA SHS,45.5,65.4,48.1,2018
6606,HUNTINGDON CO CTC,,,,2018
2308,JUNIATA VALLEY JSHS,64,68,60,2018
7944,MOUNT UNION AREA SHS,56.7,67.3,51.9,2018
7762,NEW DAY CHARTER SCHOOL,17.4,25,24,2018
2313,SOUTHERN HUNTINGDON HS/MS,50,53.1,41.3,2018
4706,BLAIRSVILLE HIGH,44.3,57.4,45.7,2018
2353,SALTSBURG MIDDLE/HIGH,55.6,69.4,61.1,2018
2331,HOMER-CENTER JSHS,54.2,78,50.8,2018
2325,INDIANA AREA SHS,48.6,63.1,40.5,2018
2339,MARION CENTER AREA H,68,80.6,50,2018
2345,PENNS MANOR AREA JSH,40.6,62.9,47.6,2018
2350,PURCHASE LINE JSHS,39.3,42.9,44.6,2018
2358,UNITED JSHS,63.1,75,54.8,2018
2362,BROCKWAY JSHS,67.8,71.2,49.2,2018
6162,BROOKVILLE JSHS,55,72.1,59.1,2018
5180,JEFFERSON CO-DUBOIS AVTS,27.4,50.7,21.3,2018
6165,PUNXSUTAWNEY AREA SH,54.1,79.3,61.6,2018
2394,EAST JUNIATA JSHS,59,62.8,50,2018
6255,JUNIATA SHS,54,68.3,37.7,2018
5091,ABINGTON HEIGHTS HS,45.1,85.1,46,2018
2420,CARBONDALE AREA JSHS,47.8,61.8,31.4,2018
7290,CTC OF LACKAWANNA COUNTY,,,,2018
8312,DUNMORE JSHS,45,68.5,50.5,2018
6404,LAKELAND JSHS,40.9,65.7,33,2018
8304,MID VALLEY SECONDARY CENTER,35.8,66,47.2,2018
2446,NORTH POCONO HS,51.5,72.7,46.6,2018
2449,OLD FORGE JSHS,41.3,64.1,34.4,2018
2496,RIVERSIDE JSHS,43.1,49.5,35.2,2018
6413,SCRANTON HS,29.3,50,30.8,2018
2489,WEST SCRANTON HS,45.9,71.1,48,2018
6775,VALLEY VIEW HS,46.5,71.2,42,2018
6290,COCALICO SHS,53,69.4,45.6,2018
2515,COLUMBIA HS,30.9,55.6,34.2,2018
2532,CONESTOGA VALLEY SHS,38.2,69.3,45.5,2018
2539,DONEGAL SHS,41.4,61.9,34.4,2018
2554,GARDEN SPOT SHS,48.1,55,35.9,2018
2562,ELIZABETHTOWN AREA S,33.2,58.5,38,2018
6293,EPHRATA SHS,39.8,72.9,41,2018
2578,HEMPFIELD SHS,34.5,70.9,34.5,2018
7538,LA ACADEMIA CS,20,24,0,2018
2607,LAMPETER-STRASBURG SHS,32,73.1,41.9,2018
5285,LANCASTER COUNTY CTC - BROWNSTOW,,,,2018
5284,LANCASTER COUNTY CTC - WILLOW ST,,,,2018
2596,MCCASKEY CAMPUSES,32.3,43,27.3,2018
7922,PHOENIX ACADEMY,0,12,0,2018
2618,MANHEIM CENTRAL SHS,45.1,65.1,39.2,2018
2623,MANHEIM TWP HS,51,66.2,42.7,2018
2633,PENN MANOR HS,47.8,73.7,40.3,2018
2649,PEQUEA VALLEY HS,50.5,62.2,35.1,2018
7354,CLERMONT EL SCH,,,,2018
2658,SOLANCO HS,57,54.9,38.3,2018
2663,WARWICK SHS,45.1,65.8,34.7,2018
2675,LINCOLN JSHS,61,71.6,45.7,2018
2680,LAUREL JSHS,62,74.6,46.5,2018
4940,LAWRENCE CO AVTS,35.5,53.7,32,2018
2686,MOHAWK SHS,57.5,74.1,44.4,2018
2689,NESHANNOCK JSHS,54.9,77.2,58.7,2018
2704,NEW CASTLE SHS,49.3,69.7,57.7,2018
2708,SHENANGO AREA JSHS,55.7,86.1,62,2018
2712,UNION AREA HS,40,75,37.5,2018
2721,WILMINGTON AREA HS,42.2,76.7,45.5,2018
2725,ANNVILLE CLEONA HS,55.6,59.1,38.5,2018
4800,CEDAR CREST HS,50.4,76,38.6,2018
2740,EASTERN LEBANON CO S,50,62.6,43.9,2018
5156,LEBANON CO AVTS,21.4,53.8,28.6,2018
2754,LEBANON SHS,29.6,,,2018
5155,NORTHERN LEBANON SHS,37.1,48.3,35.8,2018
2760,PALMYRA AREA SHS,34.8,51.4,34.9,2018
2766,BUILDING 21 ALLENTOWN,27.6,73.3,39.8,2018
8412,LOUIS E DIERUFF HS,30.4,44.2,5.9,2018
2795,WILLIAM ALLEN SHS,27.5,35.3,18,2018
2794,CATASAUQUA HS,37.1,38.4,21.1,2018
2798,EMMAUS HS,49.9,60.2,32,2018
2809,EXECUTIVE EDUCATION ACADEMY CHAR,15.9,66.8,40.3,2018
8325,INNOVATIVE ARTS ACADEMY CS,16,57.6,16.4,2018
8371,LEHIGH CAREER & TECH INST,30.4,32,24,2018
5338,LINCOLN LEADERSHIP ACAD CS,38.2,32.7,21.2,2018
8125,NORTHERN LEHIGH SHS,42.3,72.7,43.6,2018
2818,NORTHWESTERN LEHIGH HS,44.5,64.6,46.1,2018
2821,PARKLAND HIGH SCHOOL,48,70.3,36.8,2018
2829,ROBERTO CLEMENTE CS,53.8,64.7,39.4,2018
8401,SALISBURY HIGH SCHOOL,57.9,51.2,31,2018
2833,SOUTHERN LEHIGH SHS,32.8,60.8,50.8,2018
2839,WHITEHALL HS,41,71.4,32.7,2018
2848,CRESTWOOD HS,54.9,63.9,33.3,2018
2860,DALLAS SHS,60.1,58.6,40,2018
2869,NANTICOKE HS,32.6,64.4,44.4,2018
5242,HANOVER AREA JSHS,20.8,33.5,25.6,2018
2891,HAZLETON AREA CAREER CENTER,,50.4,26,2018
